Year,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials
2014,Group A,Arena de Sao Paulo,Sao Paulo ,Brazil,3,1,Croatia, ,1,1,BRA,CRO
2014,Group A,Estadio das Dunas,Natal ,Mexico,1,0,Cameroon, ,0,0,MEX,CMR
2014,Group B,Arena Fonte Nova,Salvador ,Spain,1,5,Netherlands, ,1,1,ESP,NED
2014,Group B,Arena Pantanal,Cuiaba ,Chile,3,1,Australia, ,2,1,CHI,AUS
2014,Group C,Estadio Mineirao,Belo Horizonte ,Colombia,3,0,Greece, ,1,0,COL,GRE
2014,Group D,Estadio Castelao,Fortaleza ,Uruguay,1,3,Costa Rica, ,1,0,URU,CRC
2014,Group D,Arena Amazonia,Manaus ,England,1,2,Italy, ,1,1,ENG,ITA
2014,Group C,Arena Pernambuco,Recife ,C�te d'Ivoire,2,1,Japan, ,0,1,CIV,JPN
2014,Group E,Estadio Nacional,Brasilia ,Switzerland,2,1,Ecuador, ,0,1,SUI,ECU
2014,Group E,Estadio Beira-Rio,Porto Alegre ,France,3,0,Honduras, ,1,0,FRA,HON
2014,Group F,Estadio do Maracana,Rio De Janeiro ,Argentina,2,1,"rn"">Bosnia and Herzegovina", ,1,0,ARG,BIH
2014,Group G,Arena Fonte Nova,Salvador ,Germany,4,0,Portugal, ,3,0,GER,POR
2014,Group F,Arena da Baixada,Curitiba ,IR Iran,0,0,Nigeria, ,0,0,IRN,NGA
2014,Group G,Estadio das Dunas,Natal ,Ghana,1,2,USA, ,0,1,GHA,USA
2014,Group H,Estadio Mineirao,Belo Horizonte ,Belgium,2,1,Algeria, ,0,1,BEL,ALG
2014,Group A,Estadio Castelao,Fortaleza ,Brazil,0,0,Mexico, ,0,0,BRA,MEX
2014,Group H,Arena Pantanal,Cuiaba ,Russia,1,1,Korea Republic, ,0,0,RUS,KOR
2014,Group B,Estadio Beira-Rio,Porto Alegre ,Australia,2,3,Netherlands, ,1,1,AUS,NED
2014,Group B,Estadio do Maracana,Rio De Janeiro ,Spain,0,2,Chile, ,0,2,ESP,CHI
2014,Group A,Arena Amazonia,Manaus ,Cameroon,0,4,Croatia, ,0,1,CMR,CRO
2014,Group C,Estadio Nacional,Brasilia ,Colombia,2,1,C�te d'Ivoire, ,0,0,COL,CIV
2014,Group D,Arena de Sao Paulo,Sao Paulo ,Uruguay,2,1,England, ,1,0,URU,ENG
2014,Group C,Estadio das Dunas,Natal ,Japan,0,0,Greece, ,0,0,JPN,GRE
2014,Group D,Arena Pernambuco,Recife ,Italy,0,1,Costa Rica, ,0,1,ITA,CRC
2014,Group E,Arena Fonte Nova,Salvador ,Switzerland,2,5,France, ,0,3,SUI,FRA
2014,Group E,Arena da Baixada,Curitiba ,Honduras,1,2,Ecuador, ,1,1,HON,ECU
2014,Group F,Estadio Mineirao,Belo Horizonte ,Argentina,1,0,IR Iran, ,0,0,ARG,IRN
2014,Group G,Estadio Castelao,Fortaleza ,Germany,2,2,Ghana, ,0,0,GER,GHA
2014,Group F,Arena Pantanal,Cuiaba ,Nigeria,1,0,"rn"">Bosnia and Herzegovina", ,1,0,NGA,BIH
2014,Group H,Estadio do Maracana,Rio De Janeiro ,Belgium,1,0,Russia, ,0,0,BEL,RUS
2014,Group H,Estadio Beira-Rio,Porto Alegre ,Korea Republic,2,4,Algeria, ,0,3,KOR,ALG
2014,Group G,Arena Amazonia,Manaus ,USA,2,2,Portugal, ,0,1,USA,POR
2014,Group B,Arena da Baixada,Curitiba ,Australia,0,3,Spain, ,0,1,AUS,ESP
2014,Group B,Arena de Sao Paulo,Sao Paulo ,Netherlands,2,0,Chile, ,0,0,NED,CHI
